row_names	log2FoldChange	padj
ENSG00000169429.10	-4.68011492130664	3.74651468324777e-156
ENSG00000115009.11	-4.49849130432542	8.37341024950556e-129
ENSG00000125347.13	-3.54858751459504	1.07234583156629e-115
ENSG00000118503.14	-3.78179039645637	4.37541702055965e-109
ENSG00000163739.4	-3.99645826168559	1.67887824673046e-106
ENSG00000144802.11	-3.35430912382526	5.7290318270683e-95
ENSG00000163734.4	-3.39131374863079	5.85923751988888e-66
ENSG00000081041.8	-3.11056414487296	1.99191589973608e-54
ENSG00000146232.15	-2.83538428136617	6.27746080527923e-53
ENSG00000100906.10	-2.72578280514671	2.52060844490066e-50
ENSG00000023445.13	-2.90065001180698	7.2616863346425e-48
ENSG00000168386.18	-2.43031509405902	3.84528289001269e-42
ENSG00000123610.4	-2.70995212160861	2.20318792775551e-40
ENSG00000165891.15	-2.49664367958974	5.78870810508107e-37
ENSG00000164949.7	-2.44723446154587	5.51879279945978e-35
ENSG00000163874.9	-2.27101998661115	4.56697358156853e-33
ENSG00000243649.8	-2.34666432311878	1.62427242423875e-31
ENSG00000277462.1	-2.02940557649985	1.37136542091104e-25
ENSG00000203709.10	-1.96771250668957	9.42941575423813e-25
ENSG00000112096.16	-1.64383318817435	5.73415616026368e-23
ENSG00000090339.8	-2.04787167596754	8.60322158464732e-23
ENSG00000167910.3	-2.03527423246496	2.37389472672454e-22
ENSG00000185215.8	-1.95218708992991	1.48481211190503e-21
ENSG00000077150.18	-1.62272930533917	1.27563674716951e-20
ENSG00000137193.13	-1.50329179881265	6.79242575054686e-20
ENSG00000125538.11	-1.37793766186372	5.86282542352983e-18
ENSG00000184898.6	-1.78933831687385	7.78402678005872e-18
ENSG00000171223.5	-1.57434574386015	1.33355290593806e-17
ENSG00000108691.9	-1.78930633402594	2.53378001146781e-17
ENSG00000005889.15	-1.3734263313695	5.69400532651533e-16
ENSG00000115963.13	-1.54457941873638	2.08866797126214e-15
ENSG00000136244.11	-1.64690506708685	4.47683780063508e-15
ENSG00000104312.7	-1.63358446462595	1.44896873055606e-14
ENSG00000139211.6	-1.49932505316802	1.44896873055606e-14
ENSG00000198342.9	-1.64284151747778	1.56599530456096e-14
ENSG00000131979.18	-1.50369912033093	2.98000325906485e-14
ENSG00000177374.12	-1.35081900281103	3.05787802471614e-14
ENSG00000145632.14	-1.18994574762634	3.62316788527184e-14
ENSG00000177606.6	-1.44427942961569	1.34598768088732e-13
ENSG00000162692.10	-1.59532851700507	1.8562245525372e-13
ENSG00000169245.5	-1.54966675391971	1.8562245525372e-13
ENSG00000162924.13	-1.49637396750421	3.94072135470228e-13
ENSG00000163545.8	-1.45535474676974	7.93646054175908e-13
ENSG00000164761.8	-1.46836169015871	1.11351112526413e-12
ENSG00000163661.3	-1.48520925954499	1.22232132335879e-12
ENSG00000146457.14	-1.04711370782734	1.29553693140575e-12
ENSG00000145365.10	-1.49745282233949	1.78860092049057e-12
ENSG00000267882.2	-1.48971829829018	2.38768330565365e-12
